"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
24547142,-61,2,"Projeto TAMAR","Caretta caretta","984","2008-09-05","2008-09-05",1,1,1,,,,"7006:120","POLYGON((-60 2,-61 2,-61 3,-60 3,-60 2))"
23102876,-60,14,"Observatorio Ambiental Granadilla","Caretta caretta","496","2010-03-30","2010-04-03",12,1,1,,,,"7106:130","POLYGON((-60 13,-61 13,-61 14,-60 14,-60 13))"
23212393,-60,15,"Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;890","2011-05-13","2014-06-19",74,2,1,,,,"7106:140","POLYGON((-60 14,-61 14,-61 15,-60 15,-60 14))"
23250923,-60,16,"DomSeTCO/Oceans Forward;Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;1386;890","2011-05-02","2016-06-18",352,11,1,,,,"7106:350","POLYGON((-60 15,-61 15,-61 16,-60 16,-60 15))"
23526013,-60,17,"DomSeTCO/Oceans Forward;Jacob Levenson;Jake Levenson;ONCFS & Kap'Natirel","Chelonia mydas;Dermochelys coriacea","1022;1174;1386;890","2011-05-16","2016-06-18",132,10,2,,,,"7106:360","POLYGON((-60 16,-61 16,-61 17,-60 17,-60 16))"
23541401,-60,28,"CRAM-UPV","Caretta caretta","1401","2017-10-24","2017-10-27",4,1,1,,,,"7206:370","POLYGON((-60 27,-61 27,-61 28,-60 28,-60 27))"
23309730,-60,32,"ADS Biodiversidad","Caretta caretta","1801","2018-10-23","2018-10-26",16,1,1,,,,"7306:110","POLYGON((-60 31,-61 31,-61 32,-60 32,-60 31))"
23461557,-60,35,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta;Lepidochelys kempii","2133;410","2009-01-08","2014-04-18",35,2,2,,,,"7306:140","POLYGON((-60 34,-61 34,-61 35,-60 35,-60 34))"
23461563,-60,36,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta;Lepidochelys kempii","2133;410","2009-01-09","2014-05-02",36,2,2,,,,"7306:350","POLYGON((-60 35,-61 35,-61 36,-60 36,-60 35))"
23461589,-60,37,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta;Chelonia mydas;Lepidochelys kempii","2133;410","2009-01-23","2014-04-07",61,3,3,,,,"7306:360","POLYGON((-60 36,-61 36,-61 37,-60 37,-60 36))"
23348191,-61,37,"Fundacion Oceanografic","Chelonia mydas","2133","2012-05-09","2012-05-09",1,1,1,,,,"7306:370","POLYGON((-60 37,-61 37,-61 38,-60 38,-60 37))"
